list_size,local_of_x
6,0.8
11,0.6
7,0.2
14,0.4
12,0.6
7,0.8
9,0.6
14,0.4
17,0.6
9,0.2
27,0.2
12,0.4
8,0.8
9,0.8
17,0.2
7,0.2
7,0.6
8,0.6
19,0.2
7,0.2
34,0.2
14,0.4
16,0.4
13,0.4
14,0.6
14,0.6
10,0.8
9,0.8
7,0.4
6,0.8
10,0.6
9,0.4
9,0.4
22,0.4
6,0.8
6,0.6
7,0.6
6,0.8
6,0.6
10,0.6
10,0.6
9,0.4
20,0.2
15,0.4
11,0.2
10,0.6
9,0.8
8,0.6
11,0.6
6,0.6
14,0.4
27,0.2
16,0.4
6,0.2
6,0.8
16,0.6
10,0.6
16,0.2
18,0.8
13,0.6
15,0.2
7,0.8
7,0.2
14,0.6
16,0.4
14,0.8
8,0.4
18,0.4
18,0.4
17,0.6
7,0.2
13,0.4
10,0.4
8,0.8
16,0.4
10,0.8
7,0.2
14,0.6
6,0.2
14,0.4
20,0.4
11,0.6
11,0.8
6,0.8
6,0.2
9,0.2
11,0.8
21,0.4
9,0.4
9,0.6
11,0.6
8,0.2
9,0.6
10,0.6
34,0.2
11,0.8
6,0.8
14,0.6
10,0.6
10,0.4
13,0.8
6,0.4
14,0.6
13,0.2
13,0.4
11,0.8
14,0.8
12,0.8
11,0.6
22,0.4
6,0.4
8,0.2
27,0.2
8,0.8
8,0.6
27,0.2
16,0.4
24,0.4
10,0.8
21,0.2
14,0.8
14,0.2
9,0.8
14,0.6
12,0.6
14,0.6
11,0.8
6,0.2
11,0.8
19,0.4
11,0.8
11,0.2
9,0.4
15,0.6
12,0.6
7,0.8
6,0.4
13,0.8
11,0.6
24,0.2
8,0.8
14,0.8
8,0.2
8,0.8
8,0.6
9,0.6
20,0.4
9,0.8
9,0.4
10,0.8
11,0.6
7,0.4
11,0.8
27,0.2
11,0.8
25,0.4
8,0.8
9,0.4
17,0.4
19,0.2
12,0.6
13,0.8
10,0.4
10,0.6
12,0.6
15,0.4
14,0.6
11,0.8
8,0.2
12,0.6
8,0.2
13,0.4
6,0.4
13,0.6
11,0.8
8,0.6
6,0.8
8,0.6
25,0.2
20,0.4
41,0.2
10,0.6
9,0.8
11,0.4
9,0.8
8,0.2
13,0.6
7,0.2
6,0.8
9,0.4
12,0.6
7,0.2
17,0.2
7,0.2
12,0.8
7,0.2
9,0.8
10,0.4
9,0.4
7,0.8
7,0.8
7,0.8
6,0.6
11,0.6
6,0.2
8,0.8
9,0.4
9,0.2
11,0.6
14,0.8
9,0.8
6,0.8
13,0.8
8,0.8
11,0.6
10,0.8
23,0.2
11,0.6
11,0.8
13,0.6
8,0.2
23,0.2
17,0.2
13,0.8
8,0.2
13,0.2
6,0.8
18,0.4
7,0.2
16,0.8
6,0.4
9,0.4
13,0.2
23,0.4
10,0.4
9,0.2
7,0.4
9,0.2
10,0.4
11,0.6
9,0.8
18,0.4
6,0.2
13,0.8
6,0.6
25,0.2
19,0.4
11,0.8
10,0.4
17,0.2
10,0.8
11,0.2
7,0.2
7,0.8
14,0.6
24,0.4
9,0.8
6,0.4
13,0.2
7,0.8
6,0.2
15,0.4
12,0.6
16,0.2
10,0.8
10,0.4
12,0.2
11,0.6
9,0.2
14,0.8
6,0.2
9,0.8
6,0.6
6,0.6
8,0.2
11,0.2
13,0.2
6,0.2
11,0.6
7,0.2
6,0.2
8,0.8
10,0.8
8,0.6
14,0.4
14,0.6
8,0.8
19,0.4
12,0.8
12,0.6
6,0.8
6,0.2
12,0.8
19,0.2
18,0.4
16,0.8
10,0.6
8,0.8
12,0.6
6,0.2
6,0.4
11,0.6
11,0.8
15,0.4
9,0.8
11,0.6
13,0.8
9,0.2
20,0.2
8,0.6
12,0.4
7,0.2
16,0.4
7,0.2
8,0.2
10,0.8
9,0.6
10,0.8
9,0.6
15,0.2
8,0.8
11,0.6
7,0.2
14,0.4
31,0.2
9,0.8
18,0.2
6,0.6
7,0.6
11,0.4
8,0.2
13,0.8
15,0.8
6,0.2
8,0.2
13,0.8
6,0.4
6,0.2
9,0.6
13,0.8
9,0.8
6,0.6
9,0.6
14,0.4
12,0.6
